step,time,alive,remaining_fraction
435,435.0,24313,0.48626
436,436.0,24276,0.48552
437,437.0,24233,0.48466
438,438.0,24194,0.48388
439,439.0,24156,0.48312
440,440.0,24115,0.4823
441,441.0,24077,0.48154
442,442.0,24035,0.4807
443,443.0,23994,0.47988
444,444.0,23953,0.47906
445,445.0,23914,0.47828
446,446.0,23874,0.47748
447,447.0,23838,0.47676
448,448.0,23799,0.47598
449,449.0,23759,0.47518
450,450.0,23723,0.47446
451,451.0,23683,0.47366
452,452.0,23643,0.47286
453,453.0,23606,0.47212
454,454.0,23568,0.47136
455,455.0,23533,0.47066
456,456.0,23489,0.46978
457,457.0,23450,0.469
458,458.0,23409,0.46818
459,459.0,23372,0.46744
460,460.0,23334,0.46668
461,461.0,23298,0.46596
462,462.0,23258,0.46516
463,463.0,23217,0.46434
464,464.0,23180,0.4636
465,465.0,23142,0.46284
466,466.0,23104,0.46208
467,467.0,23064,0.46128
468,468.0,23024,0.46048
469,469.0,22992,0.45984
470,470.0,22952,0.45904
471,471.0,22916,0.45832
472,472.0,22880,0.4576
473,473.0,22842,0.45684
474,474.0,22804,0.45608
475,475.0,22766,0.45532
476,476.0,22723,0.45446
477,477.0,22688,0.45376
478,478.0,22648,0.45296
479,479.0,22610,0.4522
480,480.0,22571,0.45142
481,481.0,22533,0.45066
482,482.0,22491,0.44982
483,483.0,22458,0.44916
484,484.0,22419,0.44838
485,485.0,22380,0.4476
486,486.0,22340,0.4468
487,487.0,22306,0.44612
488,488.0,22269,0.44538
489,489.0,22232,0.44464
490,490.0,22192,0.44384
491,491.0,22150,0.443
492,492.0,22117,0.44234
493,493.0,22079,0.44158
494,494.0,22041,0.44082
495,495.0,22003,0.44006
496,496.0,21963,0.43926
497,497.0,21927,0.43854
498,498.0,21886,0.43772
499,499.0,21851,0.43702
500,500.0,21814,0.43628
501,501.0,21772,0.43544
502,502.0,21734,0.43468
503,503.0,21700,0.434
504,504.0,21664,0.43328
505,505.0,21628,0.43256
506,506.0,21595,0.4319
507,507.0,21558,0.43116
508,508.0,21518,0.43036
509,509.0,21477,0.42954
510,510.0,21447,0.42894
511,511.0,21411,0.42822
512,512.0,21372,0.42744
513,513.0,21337,0.42674
514,514.0,21302,0.42604
515,515.0,21262,0.42524
516,516.0,21229,0.42458
517,517.0,21185,0.4237
518,518.0,21146,0.42292
519,519.0,21111,0.42222
520,520.0,21074,0.42148
521,521.0,21039,0.42078
522,522.0,21002,0.42004
523,523.0,20964,0.41928
524,524.0,20930,0.4186
525,525.0,20887,0.41774
526,526.0,20854,0.41708
527,527.0,20816,0.41632
528,528.0,20778,0.41556
529,529.0,20746,0.41492
530,530.0,20712,0.41424
531,531.0,20672,0.41344
532,532.0,20634,0.41268
533,533.0,20604,0.41208
534,534.0,20564,0.41128
535,535.0,20529,0.41058
536,536.0,20493,0.40986
537,537.0,20461,0.40922
538,538.0,20424,0.40848
539,539.0,20391,0.40782
540,540.0,20359,0.40718
541,541.0,20327,0.40654
542,542.0,20291,0.40582
543,543.0,20256,0.40512
544,544.0,20219,0.40438
545,545.0,20189,0.40378
546,546.0,20155,0.4031
547,547.0,20120,0.4024
548,548.0,20087,0.40174
549,549.0,20053,0.40106
550,550.0,20016,0.40032
551,551.0,19982,0.39964
552,552.0,19950,0.399
553,553.0,19918,0.39836
554,554.0,19884,0.39768
555,555.0,19849,0.39698
556,556.0,19814,0.39628
557,557.0,19781,0.39562
558,558.0,19746,0.39492
559,559.0,19715,0.3943
560,560.0,19674,0.39348
561,561.0,19646,0.39292
562,562.0,19612,0.39224
563,563.0,19583,0.39166
564,564.0,19540,0.3908
565,565.0,19511,0.39022
566,566.0,19479,0.38958
567,567.0,19446,0.38892
568,568.0,19409,0.38818
569,569.0,19374,0.38748
570,570.0,19343,0.38686
571,571.0,19311,0.38622
572,572.0,19270,0.3854
573,573.0,19244,0.38488
574,574.0,19208,0.38416
575,575.0,19179,0.38358
576,576.0,19145,0.3829
577,577.0,19116,0.38232
578,578.0,19079,0.38158
579,579.0,19048,0.38096
580,580.0,19017,0.38034
581,581.0,18979,0.37958
582,582.0,18955,0.3791
583,583.0,18920,0.3784
584,584.0,18889,0.37778
585,585.0,18859,0.37718
586,586.0,18830,0.3766
587,587.0,18793,0.37586
588,588.0,18766,0.37532
589,589.0,18728,0.37456
590,590.0,18697,0.37394
591,591.0,18668,0.37336
592,592.0,18631,0.37262
593,593.0,18603,0.37206
594,594.0,18571,0.37142
595,595.0,18539,0.37078
596,596.0,18506,0.37012
597,597.0,18474,0.36948
598,598.0,18442,0.36884
599,599.0,18410,0.3682
600,600.0,18380,0.3676
601,601.0,18344,0.36688
602,602.0,18315,0.3663
603,603.0,18281,0.36562
604,604.0,18252,0.36504
605,605.0,18221,0.36442
606,606.0,18189,0.36378
607,607.0,18158,0.36316
608,608.0,18125,0.3625
609,609.0,18095,0.3619
610,610.0,18065,0.3613
611,611.0,18034,0.36068
612,612.0,18002,0.36004
613,613.0,17970,0.3594
614,614.0,17942,0.35884
615,615.0,17907,0.35814
616,616.0,17872,0.35744
617,617.0,17842,0.35684
618,618.0,17812,0.35624
619,619.0,17785,0.3557
620,620.0,17748,0.35496
621,621.0,17721,0.35442
622,622.0,17691,0.35382
623,623.0,17658,0.35316
624,624.0,17627,0.35254
625,625.0,17595,0.3519
626,626.0,17567,0.35134
627,627.0,17533,0.35066
628,628.0,17498,0.34996
629,629.0,17473,0.34946
630,630.0,17440,0.3488
631,631.0,17409,0.34818
632,632.0,17378,0.34756
633,633.0,17346,0.34692
634,634.0,17315,0.3463
635,635.0,17286,0.34572
636,636.0,17247,0.34494
637,637.0,17222,0.34444
638,638.0,17185,0.3437
639,639.0,17153,0.34306
640,640.0,17123,0.34246
641,641.0,17094,0.34188
642,642.0,17059,0.34118
643,643.0,17028,0.34056
644,644.0,16999,0.33998
645,645.0,16966,0.33932
646,646.0,16933,0.33866
647,647.0,16907,0.33814
648,648.0,16875,0.3375
649,649.0,16841,0.33682
650,650.0,16812,0.33624
651,651.0,16776,0.33552
652,652.0,16747,0.33494
653,653.0,16715,0.3343
654,654.0,16686,0.33372
655,655.0,16653,0.33306
656,656.0,16624,0.33248
657,657.0,16595,0.3319
658,658.0,16566,0.33132
659,659.0,16534,0.33068
660,660.0,16505,0.3301
661,661.0,16469,0.32938
662,662.0,16442,0.32884
663,663.0,16407,0.32814
664,664.0,16381,0.32762
665,665.0,16344,0.32688
666,666.0,16311,0.32622
667,667.0,16284,0.32568
668,668.0,16254,0.32508
669,669.0,16221,0.32442
670,670.0,16192,0.32384
671,671.0,16161,0.32322
672,672.0,16123,0.32246
673,673.0,16094,0.32188
674,674.0,16063,0.32126
675,675.0,16032,0.32064
676,676.0,16001,0.32002
677,677.0,15972,0.31944
678,678.0,15940,0.3188
679,679.0,15907,0.31814
680,680.0,15881,0.31762
681,681.0,15851,0.31702
682,682.0,15819,0.31638
683,683.0,15791,0.31582
684,684.0,15759,0.31518
685,685.0,15727,0.31454
686,686.0,15699,0.31398
687,687.0,15665,0.3133
688,688.0,15641,0.31282
689,689.0,15606,0.31212
690,690.0,15578,0.31156
691,691.0,15545,0.3109
692,692.0,15514,0.31028
693,693.0,15483,0.30966
694,694.0,15455,0.3091
695,695.0,15420,0.3084
696,696.0,15391,0.30782
697,697.0,15364,0.30728
698,698.0,15333,0.30666
699,699.0,15299,0.30598
700,700.0,15274,0.30548
701,701.0,15243,0.30486
702,702.0,15214,0.30428
703,703.0,15185,0.3037
704,704.0,15157,0.30314
705,705.0,15130,0.3026
706,706.0,15099,0.30198
707,707.0,15073,0.30146
708,708.0,15044,0.30088
709,709.0,15012,0.30024
710,710.0,14986,0.29972
711,711.0,14956,0.29912
712,712.0,14923,0.29846
713,713.0,14898,0.29796
714,714.0,14868,0.29736
715,715.0,14842,0.29684
716,716.0,14814,0.29628
717,717.0,14787,0.29574
718,718.0,14757,0.29514
719,719.0,14728,0.29456
720,720.0,14701,0.29402
721,721.0,14669,0.29338
722,722.0,14644,0.29288
723,723.0,14618,0.29236
724,724.0,14590,0.2918
725,725.0,14563,0.29126
726,726.0,14537,0.29074
727,727.0,14506,0.29012
728,728.0,14481,0.28962
729,729.0,14453,0.28906
730,730.0,14424,0.28848
731,731.0,14399,0.28798
732,732.0,14370,0.2874
733,733.0,14348,0.28696
734,734.0,14321,0.28642
735,735.0,14293,0.28586
736,736.0,14269,0.28538
737,737.0,14242,0.28484
738,738.0,14214,0.28428
739,739.0,14185,0.2837
740,740.0,14157,0.28314
741,741.0,14138,0.28276
742,742.0,14111,0.28222
743,743.0,14082,0.28164
744,744.0,14054,0.28108
745,745.0,14027,0.28054
746,746.0,14001,0.28002
747,747.0,13977,0.27954
748,748.0,13950,0.279
749,749.0,13921,0.27842
750,750.0,13899,0.27798
751,751.0,13874,0.27748
752,752.0,13850,0.277
753,753.0,13820,0.2764
754,754.0,13794,0.27588
755,755.0,13771,0.27542
756,756.0,13746,0.27492
757,757.0,13719,0.27438
758,758.0,13693,0.27386
759,759.0,13666,0.27332
760,760.0,13639,0.27278
761,761.0,13618,0.27236
762,762.0,13591,0.27182
763,763.0,13564,0.27128
764,764.0,13541,0.27082
765,765.0,13514,0.27028
766,766.0,13493,0.26986
767,767.0,13463,0.26926
768,768.0,13438,0.26876
769,769.0,13414,0.26828
770,770.0,13389,0.26778
771,771.0,13366,0.26732
772,772.0,13344,0.26688
773,773.0,13318,0.26636
774,774.0,13299,0.26598
775,775.0,13274,0.26548
776,776.0,13249,0.26498
777,777.0,13229,0.26458
778,778.0,13203,0.26406
779,779.0,13183,0.26366
780,780.0,13158,0.26316
781,781.0,13136,0.26272
782,782.0,13115,0.2623
783,783.0,13092,0.26184
784,784.0,13070,0.2614
785,785.0,13048,0.26096
786,786.0,13027,0.26054
787,787.0,13007,0.26014
788,788.0,12985,0.2597
789,789.0,12964,0.25928
790,790.0,12945,0.2589
791,791.0,12921,0.25842
792,792.0,12902,0.25804
793,793.0,12881,0.25762
794,794.0,12867,0.25734
795,795.0,12848,0.25696
796,796.0,12827,0.25654
797,797.0,12804,0.25608
798,798.0,12788,0.25576
799,799.0,12767,0.25534
800,800.0,12748,0.25496
801,801.0,12726,0.25452
802,802.0,12705,0.2541
803,803.0,12688,0.25376
804,804.0,12668,0.25336
805,805.0,12651,0.25302
806,806.0,12631,0.25262
807,807.0,12611,0.25222
808,808.0,12594,0.25188
809,809.0,12577,0.25154
810,810.0,12555,0.2511
811,811.0,12537,0.25074
812,812.0,12516,0.25032
813,813.0,12501,0.25002
814,814.0,12481,0.24962
815,815.0,12461,0.24922
816,816.0,12443,0.24886
817,817.0,12420,0.2484
818,818.0,12403,0.24806
819,819.0,12386,0.24772
820,820.0,12367,0.24734
821,821.0,12348,0.24696
822,822.0,12328,0.24656
823,823.0,12311,0.24622
824,824.0,12291,0.24582
825,825.0,12270,0.2454
826,826.0,12252,0.24504
827,827.0,12236,0.24472
828,828.0,12219,0.24438
829,829.0,12196,0.24392
830,830.0,12179,0.24358
831,831.0,12161,0.24322
832,832.0,12143,0.24286
833,833.0,12123,0.24246
834,834.0,12104,0.24208
835,835.0,12086,0.24172
836,836.0,12068,0.24136
837,837.0,12051,0.24102
838,838.0,12030,0.2406
839,839.0,12012,0.24024
840,840.0,11991,0.23982
841,841.0,11971,0.23942
842,842.0,11955,0.2391
843,843.0,11938,0.23876
844,844.0,11918,0.23836
845,845.0,11902,0.23804
846,846.0,11881,0.23762
847,847.0,11861,0.23722
848,848.0,11844,0.23688
849,849.0,11829,0.23658
850,850.0,11808,0.23616
851,851.0,11793,0.23586
852,852.0,11771,0.23542
853,853.0,11754,0.23508
854,854.0,11733,0.23466
855,855.0,11715,0.2343
856,856.0,11701,0.23402
857,857.0,11681,0.23362
858,858.0,11661,0.23322
859,859.0,11642,0.23284
860,860.0,11625,0.2325
861,861.0,11607,0.23214
862,862.0,11587,0.23174
863,863.0,11571,0.23142
864,864.0,11549,0.23098
865,865.0,11531,0.23062
866,866.0,11515,0.2303
867,867.0,11492,0.22984
868,868.0,11476,0.22952
869,869.0,11459,0.22918
870,870.0,11442,0.22884
871,871.0,11425,0.2285
872,872.0,11411,0.22822
873,873.0,11394,0.22788
874,874.0,11378,0.22756
875,875.0,11361,0.22722
876,876.0,11347,0.22694
877,877.0,11331,0.22662
878,878.0,11314,0.22628
879,879.0,11300,0.226
880,880.0,11283,0.22566
881,881.0,11267,0.22534
882,882.0,11249,0.22498
883,883.0,11233,0.22466
884,884.0,11218,0.22436
885,885.0,11202,0.22404
886,886.0,11184,0.22368
887,887.0,11169,0.22338
888,888.0,11152,0.22304
889,889.0,11133,0.22266
890,890.0,11119,0.22238
891,891.0,11101,0.22202
892,892.0,11090,0.2218
893,893.0,11070,0.2214
894,894.0,11056,0.22112
895,895.0,11042,0.22084
896,896.0,11025,0.2205
897,897.0,11008,0.22016
898,898.0,10992,0.21984
899,899.0,10978,0.21956
900,900.0,10961,0.21922
901,901.0,10948,0.21896
902,902.0,10931,0.21862
903,903.0,10917,0.21834
904,904.0,10898,0.21796
905,905.0,10880,0.2176
906,906.0,10864,0.21728
907,907.0,10851,0.21702
908,908.0,10835,0.2167
909,909.0,10817,0.21634
910,910.0,10800,0.216
911,911.0,10785,0.2157
912,912.0,10770,0.2154
913,913.0,10753,0.21506
914,914.0,10739,0.21478
915,915.0,10726,0.21452
916,916.0,10708,0.21416
917,917.0,10690,0.2138
918,918.0,10677,0.21354
919,919.0,10658,0.21316
920,920.0,10647,0.21294
921,921.0,10630,0.2126
922,922.0,10618,0.21236
923,923.0,10602,0.21204
924,924.0,10586,0.21172
925,925.0,10571,0.21142
926,926.0,10558,0.21116
927,927.0,10540,0.2108
928,928.0,10525,0.2105
929,929.0,10507,0.21014
930,930.0,10498,0.20996
931,931.0,10478,0.20956
932,932.0,10466,0.20932
933,933.0,10449,0.20898
934,934.0,10433,0.20866
935,935.0,10417,0.20834
936,936.0,10402,0.20804
937,937.0,10386,0.20772
938,938.0,10372,0.20744
939,939.0,10356,0.20712
940,940.0,10343,0.20686
941,941.0,10332,0.20664
942,942.0,10311,0.20622
943,943.0,10301,0.20602
944,944.0,10284,0.20568
945,945.0,10272,0.20544
946,946.0,10256,0.20512
947,947.0,10241,0.20482
948,948.0,10227,0.20454
949,949.0,10209,0.20418
950,950.0,10196,0.20392
951,951.0,10182,0.20364
952,952.0,10168,0.20336
953,953.0,10153,0.20306
954,954.0,10139,0.20278
955,955.0,10125,0.2025
956,956.0,10109,0.20218
957,957.0,10096,0.20192
958,958.0,10081,0.20162
959,959.0,10066,0.20132
960,960.0,10053,0.20106
961,961.0,10039,0.20078
962,962.0,10023,0.20046
963,963.0,10007,0.20014
964,964.0,9995,0.1999
965,965.0,9980,0.1996
966,966.0,9968,0.19936
967,967.0,9952,0.19904
968,968.0,9939,0.19878
969,969.0,9925,0.1985
970,970.0,9910,0.1982
971,971.0,9894,0.19788
972,972.0,9880,0.1976
973,973.0,9868,0.19736
974,974.0,9852,0.19704
975,975.0,9838,0.19676
976,976.0,9824,0.19648
977,977.0,9810,0.1962
978,978.0,9796,0.19592
979,979.0,9782,0.19564
980,980.0,9768,0.19536
981,981.0,9752,0.19504
982,982.0,9738,0.19476
983,983.0,9725,0.1945
984,984.0,9711,0.19422
985,985.0,9698,0.19396
986,986.0,9681,0.19362
987,987.0,9670,0.1934
988,988.0,9656,0.19312
989,989.0,9642,0.19284
990,990.0,9627,0.19254
991,991.0,9609,0.19218
992,992.0,9598,0.19196
993,993.0,9584,0.19168
994,994.0,9569,0.19138
995,995.0,9553,0.19106
