Run_ID,steps,T_total,N0,N_end
742,900,899.0,49385,10009
743,876,875.0,49384,10016
744,890,889.0,49393,10002
745,914,913.0,49379,10006
746,874,873.0,49387,10002
747,855,854.0,49392,9999
748,889,888.0,49382,10023
749,891,890.0,49386,10006
750,876,875.0,49383,10011
751,901,900.0,49379,10013
752,888,887.0,49384,10010
753,863,862.0,49391,10016
754,881,880.0,49391,10016
755,958,957.0,49381,10001
756,861,860.0,49393,10018
757,929,928.0,49385,10009
758,944,943.0,49378,10004
759,870,869.0,49392,10007
760,888,887.0,49382,10018
761,876,875.0,49387,10007
762,889,888.0,49382,10004
763,889,888.0,49382,10013
764,902,901.0,49381,10002
765,868,867.0,49383,10001
766,875,874.0,49384,10018
767,902,901.0,49394,10000
768,889,888.0,49390,10009
769,885,884.0,49382,10011
770,891,890.0,49385,10007
771,904,903.0,49383,9999
772,865,864.0,49384,10001
773,903,902.0,49383,10013
774,888,887.0,49382,10009
775,866,865.0,49388,10008
776,877,876.0,49384,10016
777,876,875.0,49385,10019
778,841,840.0,49389,10010
779,865,864.0,49384,10005
780,890,889.0,49383,10006
781,901,900.0,49380,10008
782,849,848.0,49391,10013
783,889,888.0,49382,10005
784,883,882.0,49386,10007
785,924,923.0,49385,10008
786,888,887.0,49381,10004
787,888,887.0,49384,10009
788,883,882.0,49392,10004
789,865,864.0,49384,10007
790,878,877.0,49386,9999
791,901,900.0,49380,9997
792,908,907.0,49382,10010
793,889,888.0,49381,10012
794,892,891.0,49390,10018
795,861,860.0,49387,10007
796,888,887.0,49383,10011
797,882,881.0,49383,9996
798,893,892.0,49383,10019
799,875,874.0,49385,10012
800,898,897.0,49388,10008
801,902,901.0,49380,9999
802,900,899.0,49381,10016
803,870,869.0,49394,10014
804,876,875.0,49386,10005
805,915,914.0,49378,10002
806,914,913.0,49379,10007
807,889,888.0,49383,10020
808,865,864.0,49384,10005
809,878,877.0,49390,10012
810,857,856.0,49384,10013
811,899,898.0,49380,10015
812,902,901.0,49380,10015
813,890,889.0,49385,10018
814,890,889.0,49382,10002
815,883,882.0,49387,9999
816,881,880.0,49385,10017
817,880,879.0,49391,10014
818,854,853.0,49392,10010
819,889,888.0,49384,10001
820,892,891.0,49383,10006
821,875,874.0,49384,9999
822,876,875.0,49387,10000
823,863,862.0,49393,10017
824,896,895.0,49382,10000
825,914,913.0,49389,10014
826,900,899.0,49380,10014
827,875,874.0,49386,10016
828,894,893.0,49386,10015
829,887,886.0,49383,10006
830,885,884.0,49382,10010
831,929,928.0,49390,10017
832,881,880.0,49384,10003
833,886,885.0,49382,10012
834,856,855.0,49390,10014
835,914,913.0,49378,9998
836,890,889.0,49382,10005
837,851,850.0,49391,10006
838,860,859.0,49385,10011
839,894,893.0,49392,10017
840,912,911.0,49383,10007
841,903,902.0,49390,10009
842,892,891.0,49385,10004
843,880,879.0,49385,10013
844,883,882.0,49385,10011
845,893,892.0,49391,10003
846,900,899.0,49389,10010
847,883,882.0,49386,10009
848,872,871.0,49382,10006
849,882,881.0,49385,10020
850,888,887.0,49382,10007
851,901,900.0,49380,10011
852,901,900.0,49379,10007
853,891,890.0,49385,10000
854,901,900.0,49380,10016
855,901,900.0,49382,10015
856,898,897.0,49386,10014
857,889,888.0,49381,10011
858,860,859.0,49397,10000
859,905,904.0,49386,10012
860,890,889.0,49387,10008
861,903,902.0,49384,10004
862,889,888.0,49386,10013
863,874,873.0,49384,10005
864,889,888.0,49383,10001
865,901,900.0,49379,10004
866,876,875.0,49385,10003
867,892,891.0,49387,10015
868,877,876.0,49394,9997
869,894,893.0,49387,10007
870,889,888.0,49384,10004
871,902,901.0,49381,10009
872,894,893.0,49387,10002
873,861,860.0,49383,10006
