sim_call,batch,evac,cost_proxy,widths
123,3,1197.5314658402706,2939.57,"[0,0,2,0,4,0,0,2,2,2,4,2,4,0,4]"
124,3,1221.5140862044518,2622.2900000000004,"[2,2,0,4,2,2,0,0,4,0,0,0,4,4,0]"
125,3,1241.9614518350484,2807.34,"[2,0,4,4,2,2,0,0,4,2,2,4,0,0,0]"
126,3,1177.0780407526686,3621.96,"[0,2,4,4,0,2,0,0,0,4,0,4,4,4,4]"
127,3,1141.8346833161168,4070.1000000000004,"[4,0,4,4,2,2,0,0,4,2,0,4,4,4,4]"
128,3,1177.0496222478782,3552.370000000001,"[4,2,2,4,0,4,2,0,2,2,4,0,4,0,2]"
129,3,1222.0052723258593,3361.3900000000003,"[4,2,0,4,4,0,2,0,0,2,4,0,4,0,0]"
130,3,1394.3987341002996,940.2300000000001,"[0,0,0,2,0,0,4,0,0,0,0,2,0,0,0]"
131,3,1159.7342954365924,3087.6600000000003,"[0,2,4,0,4,0,0,0,0,4,2,2,4,2,0]"
132,3,1261.7637891922548,2048.76,"[2,2,2,2,0,0,4,0,0,0,0,2,0,2,0]"
133,3,1214.569590447834,1505.25,"[0,0,2,4,0,0,0,0,4,0,2,0,4,0,4]"
134,3,1299.1485082335785,1300.4800000000002,"[2,0,0,2,0,0,4,0,0,0,0,0,2,0,2]"
135,3,1379.7198341165033,1610.2600000000002,"[2,0,0,0,0,0,0,0,4,4,2,2,0,0,4]"
136,3,1216.467582183873,2595.4900000000002,"[0,0,2,4,0,2,0,0,4,2,2,4,4,0,4]"
137,3,1163.1412600514473,2869.57,"[0,2,4,0,2,2,0,0,0,2,0,0,4,4,4]"
138,3,1210.8316572481822,3300.2700000000004,"[2,0,4,0,2,0,2,4,4,2,2,4,2,0,2]"
139,3,1251.9608421777525,1817.7400000000002,"[2,4,2,0,2,0,2,0,4,0,0,0,0,0,0]"
140,3,1216.9547821595672,1265.2600000000002,"[2,0,4,0,2,0,0,0,0,0,0,0,2,0,0]"
141,3,1190.4934617488,4854.410000000001,"[4,2,0,2,4,2,4,4,4,0,2,2,4,4,2]"
142,3,1229.081858138216,3405.8,"[2,4,4,4,0,2,4,4,2,0,0,0,0,2,0]"
143,3,1185.128555224727,3044.84,"[0,0,4,0,2,0,2,2,0,0,4,4,4,0,4]"
144,3,1183.1496202223977,3850.9500000000003,"[0,4,2,0,4,0,0,4,0,2,4,0,4,4,0]"
145,3,1181.4741295497358,3934.460000000001,"[4,2,4,2,0,0,4,4,2,2,2,2,2,2,2]"
146,3,1166.5719572218509,4390.9800000000005,"[4,2,4,0,4,4,0,0,2,4,2,2,2,4,0]"
147,3,1256.0363877579957,3404.15,"[2,2,0,4,0,2,0,4,0,2,4,2,4,0,2]"
148,3,1177.642690040712,2945.6400000000003,"[2,0,4,2,0,0,2,2,0,2,2,4,4,0,2]"
149,3,1299.3415853115127,2321.4,"[2,0,4,0,0,4,0,4,0,0,2,0,0,0,2]"
150,3,1208.6445666484374,1362.5200000000002,"[0,0,2,0,0,0,4,0,4,0,0,0,4,0,4]"
151,3,1151.608105973142,3786.2900000000004,"[4,2,4,4,2,2,0,0,4,4,0,2,4,0,4]"
152,3,1193.362756476474,3264.5400000000004,"[2,0,2,2,0,0,0,2,4,0,4,4,4,4,4]"
153,3,1145.368923051994,3086.55,"[2,0,4,4,2,0,0,0,0,2,2,2,4,4,0]"
154,3,1289.294814874828,2125.6300000000006,"[2,0,4,0,0,2,2,2,4,0,0,4,0,0,0]"
155,3,1263.3087083772177,1972.0500000000002,"[2,4,2,0,0,0,0,0,0,0,2,2,0,2,0]"
156,3,1126.7724473881428,3730.9800000000005,"[4,2,4,4,2,2,4,0,2,0,2,0,4,2,0]"
157,3,1248.5310273237326,1748.3200000000002,"[2,0,0,0,0,2,2,0,4,0,0,0,4,4,0]"
158,3,1420.5093048691567,377.71000000000004,"[0,0,0,4,0,0,0,0,0,0,0,0,0,0,0]"
159,3,1197.7386664236092,2802.26,"[0,2,2,0,2,0,0,2,4,0,4,4,4,0,2]"
160,3,1298.49776188933,1319.5200000000002,"[0,0,2,0,2,0,0,2,0,4,0,0,0,0,0]"
161,4,1293.6811512598233,1681.9700000000003,"[0,0,2,2,0,2,0,0,4,4,0,0,0,4,0]"
162,4,1301.6581252152073,1507.0700000000002,"[0,0,0,2,2,0,4,0,0,0,0,2,2,0,0]"
163,4,1249.7235923195333,2718.5800000000004,"[2,0,2,0,4,2,0,0,4,0,0,4,0,4,0]"
164,4,1147.45345445707,4066.8200000000006,"[4,0,4,4,4,2,2,0,4,2,4,0,4,0,4]"
165,4,1186.4763697312187,1975.0,"[0,0,4,0,2,0,2,0,4,4,0,0,4,0,2]"
